秘籍1	秘籍2	秘籍3	秘籍4	秘籍5	基础成功率a	大人生果系数b	千年人生果系数c	成功获得	失败获得1	概率	失败获得2	概率	失败获得3	概率	失败获得4	概率	失败获得5	概率
0,112,78	0,107,203	0,107,190	0,107,191		3000	20	140	0,112,224	0,112,78	4000	0,107,203	1500	0,112,226	2500	0,112,225	2000		
0,107,1	0,107,2				4500	500	3500	0,107,166	0,107,1	5000	0,107,2	5000						
0,107,3	0,107,4				4500	500	3500	0,107,167	0,107,3	5000	0,107,4	5000						
0,107,5	0,107,6				4500	500	3500	0,107,168	0,107,5	5000	0,107,6	5000						
0,107,7	0,107,8				4500	500	3500	0,107,169	0,107,7	5000	0,107,8	5000						
0,107,9	0,107,10				4500	500	3500	0,107,170	0,107,9	5000	0,107,10	5000						
0,107,11	0,107,12				4500	500	3500	0,107,171	0,107,11	5000	0,107,12	5000						
0,107,13	0,107,14				4500	500	3500	0,107,172	0,107,13	5000	0,107,14	5000						
0,107,15	0,107,16				4500	500	3500	0,107,173	0,107,15	5000	0,107,16	5000						
0,107,17	0,107,18				4500	500	3500	0,107,174	0,107,17	5000	0,107,18	5000						
0,107,19	0,107,20				4500	500	3500	0,107,175	0,107,19	5000	0,107,20	5000						
0,107,21	0,107,22				4500	500	3500	0,107,176	0,107,21	5000	0,107,22	5000						
0,107,23	0,107,24				4500	500	3500	0,107,177	0,107,23	5000	0,107,24	5000						
0,107,25	0,107,26				4500	500	3500	0,107,178	0,107,25	5000	0,107,26	5000						
0,107,27	0,107,28				4500	500	3500	0,107,179	0,107,27	5000	0,107,28	5000						
0,107,180	0,107,181				4500	500	3500	0,107,198	0,107,180	5000	0,107,181	5000						
0,107,182	0,107,183				4500	500	3500	0,107,199	0,107,182	5000	0,107,183	5000						
0,107,184	0,107,185				4500	500	3500	0,107,200	0,107,184	5000	0,107,185	5000						
0,107,186	0,107,187				4500	500	3500	0,107,201	0,107,186	5000	0,107,187	5000						
0,107,188	0,107,189				4500	500	3500	0,107,202	0,107,188	5000	0,107,189	5000						
0,107,190	0,107,191				4500	500	3500	0,107,203	0,107,190	5000	0,107,191	5000						
0,107,13	0,107,17	0,107,1	0,107,7	0,107,27	4000	200	1400	0,107,155	0,107,13	2000	0,107,17	2000	0,107,1	2000	0,107,7	2000	0,107,27	2000
0,107,14	0,107,17	0,107,2	0,107,8	0,107,28	4000	200	1400	0,107,155	0,107,14	2000	0,107,17	2000	0,107,2	2000	0,107,8	2000	0,107,28	2000
0,107,21	0,107,5	0,107,9	0,107,25	0,107,11	4000	200	1400	0,107,155	0,107,21	2000	0,107,5	2000	0,107,9	2000	0,107,25	2000	0,107,11	2000
0,107,22	0,107,6	0,107,10	0,107,26	0,107,12	4000	200	1400	0,107,155	0,107,22	2000	0,107,6	2000	0,107,10	2000	0,107,26	2000	0,107,12	2000
0,107,23	0,107,3	0,107,1	0,107,15	0,107,19	4000	200	1400	0,107,155	0,107,23	2000	0,107,3	2000	0,107,1	2000	0,107,15	2000	0,107,19	2000
0,107,24	0,107,4	0,107,2	0,107,16	0,107,20	4000	200	1400	0,107,155	0,107,24	2000	0,107,4	2000	0,107,2	2000	0,107,16	2000	0,107,20	2000
0,107,182	0,107,180	0,107,9	0,107,184	0,107,190	4000	200	1400	0,107,155	0,107,182	2000	0,107,180	2000	0,107,9	2000	0,107,184	2000	0,107,190	2000
0,107,183	0,107,181	0,107,10	0,107,185	0,107,191	4000	200	1400	0,107,155	0,107,183	2000	0,107,181	2000	0,107,10	2000	0,107,185	2000	0,107,191	2000
0,107,182	0,107,180	0,107,9	0,107,188	0,107,190	4000	200	1400	0,107,155	0,107,182	2000	0,107,180	2000	0,107,9	2000	0,107,188	2000	0,107,190	2000
0,107,183	0,107,181	0,107,10	0,107,189	0,107,191	4000	200	1400	0,107,155	0,107,183	2000	0,107,181	2000	0,107,10	2000	0,107,189	2000	0,107,191	2000
0,107,59	0,107,66				4000	200	1400	0,107,159	0,107,59	5000	0,107,66	5000						
0,107,64	0,107,66				4000	200	1400	0,107,160	0,107,64	5000	0,107,66	5000						
0,107,65	0,107,66				4000	200	1400	0,107,161	0,107,65	5000	0,107,66	5000						
0,107,59	0,107,66	0,107,155			1000	10	70	0,107,162	0,107,59	4000	0,107,66	4000	0,107,155	2000				
0,107,64	0,107,66	0,107,155			1000	10	70	0,107,163	0,107,64	4000	0,107,66	4000	0,107,155	2000				
0,107,65	0,107,66	0,107,155			1000	10	70	0,107,164	0,107,65	4000	0,107,66	4000	0,107,155	2000				
0,107,59	0,107,64	0,107,65	0,107,66	0,107,155	1000	10	70	0,107,165	0,107,59	2000	0,107,64	2000	0,107,65	2000	0,107,66	2000	0,107,155	2000
0,107,155	0,107,155	0,107,155	0,107,155		1000	10	70	0,107,157	0,107,155	10000								
0,112,78	0,112,78	0,112,78	0,112,78		1000	5	305	0,112,158	0,112,78	10000								
0,107,166	0,107,1	0,107,2			1500	30	210	0,112,101	0,107,166	5000	0,107,1	2500	0,107,2	2500				
0,107,167	0,107,3	0,107,4			1500	30	210	0,112,102	0,107,167	5000	0,107,3	2500	0,107,4	2500				
0,107,168	0,107,5	0,107,6			1500	30	210	0,112,103	0,107,168	5000	0,107,5	2500	0,107,6	2500				
0,107,169	0,107,7	0,107,8			1500	30	210	0,112,104	0,107,169	5000	0,107,7	2500	0,107,8	2500				
0,107,170	0,107,9	0,107,10			1500	30	210	0,112,105	0,107,170	5000	0,107,9	2500	0,107,10	2500				
0,107,171	0,107,11	0,107,12			1500	30	210	0,112,106	0,107,171	5000	0,107,11	2500	0,107,12	2500				
0,107,172	0,107,13	0,107,14			1500	30	210	0,112,107	0,107,172	5000	0,107,13	2500	0,107,14	2500				
0,107,173	0,107,15	0,107,16			1500	30	210	0,112,108	0,107,173	5000	0,107,15	2500	0,107,16	2500				
0,107,174	0,107,17	0,107,18			1500	30	210	0,112,109	0,107,174	5000	0,107,17	2500	0,107,18	2500				
0,107,175	0,107,19	0,107,20			1500	30	210	0,112,110	0,107,175	5000	0,107,19	2500	0,107,20	2500				
0,107,176	0,107,21	0,107,22			1500	30	210	0,112,111	0,107,176	5000	0,107,21	2500	0,107,22	2500				
0,107,177	0,107,23	0,107,24			1500	30	210	0,112,112	0,107,177	5000	0,107,23	2500	0,107,24	2500				
0,107,178	0,107,25	0,107,26			1500	30	210	0,112,113	0,107,178	5000	0,107,25	2500	0,107,26	2500				
0,107,179	0,107,27	0,107,28			1500	30	210	0,112,114	0,107,179	5000	0,107,27	2500	0,107,28	2500				
0,107,198	0,107,180	0,107,181			1500	30	210	0,112,192	0,107,198	5000	0,107,180	2500	0,107,181	2500				
0,107,199	0,107,182	0,107,183			1500	30	210	0,112,193	0,107,199	5000	0,107,182	2500	0,107,183	2500				
0,107,200	0,107,184	0,107,185			1500	30	210	0,112,194	0,107,200	5000	0,107,184	2500	0,107,185	2500				
0,107,201	0,107,186	0,107,187			1500	30	210	0,112,195	0,107,201	5000	0,107,186	2500	0,107,187	2500				
0,107,202	0,107,188	0,107,189			1500	30	210	0,112,196	0,107,202	5000	0,107,188	2500	0,107,189	2500				
0,107,203	0,107,190	0,107,191			1500	30	210	0,112,197	0,107,203	5000	0,107,190	2500	0,107,191	2500				
0,107,155	0,107,166				1500	30	210	0,107,204	0,107,155	5000	0,107,166	5000						
0,107,155	0,107,167				1500	30	210	0,107,205	0,107,155	5000	0,107,167	5000						
0,107,155	0,107,168				1500	30	210	0,107,206	0,107,155	5000	0,107,168	5000						
0,107,155	0,107,169				1500	30	210	0,107,207	0,107,155	5000	0,107,169	5000						
0,107,155	0,107,170				1500	30	210	0,107,208	0,107,155	5000	0,107,170	5000						
0,107,155	0,107,171				1500	30	210	0,107,209	0,107,155	5000	0,107,171	5000						
0,107,155	0,107,172				1500	30	210	0,107,210	0,107,155	5000	0,107,172	5000						
0,107,155	0,107,173				1500	30	210	0,107,211	0,107,155	5000	0,107,173	5000						
0,107,155	0,107,174				1500	30	210	0,107,212	0,107,155	5000	0,107,174	5000						
0,107,155	0,107,175				1500	30	210	0,107,213	0,107,155	5000	0,107,175	5000						
0,107,155	0,107,176				1500	30	210	0,107,214	0,107,155	5000	0,107,176	5000						
0,107,155	0,107,177				1500	30	210	0,107,215	0,107,155	5000	0,107,177	5000						
0,107,155	0,107,178				1500	30	210	0,107,216	0,107,155	5000	0,107,178	5000						
0,107,155	0,107,179				1500	30	210	0,107,217	0,107,155	5000	0,107,179	5000						
0,107,155	0,107,198				1500	30	210	0,107,218	0,107,155	5000	0,107,198	5000						
0,107,155	0,107,199				1500	30	210	0,107,219	0,107,155	5000	0,107,199	5000						
0,107,155	0,107,200				1500	30	210	0,107,220	0,107,155	5000	0,107,200	5000						
0,107,155	0,107,201				1500	30	210	0,107,221	0,107,155	5000	0,107,201	5000						
0,107,155	0,107,202				1500	30	210	0,107,222	0,107,155	5000	0,107,202	5000						
0,107,155	0,107,203				1500	30	210	0,107,223	0,107,155	5000	0,107,203	5000						
0,107,155	0,107,166	0,107,227			4000	30	210	0,107,204	0,107,155	3000	0,107,166	4000	0,107,227	3000				
0,107,155	0,107,167	0,107,227			4000	30	210	0,107,205	0,107,155	3000	0,107,167	4000	0,107,227	3000				
0,107,155	0,107,168	0,107,227			4000	30	210	0,107,206	0,107,155	3000	0,107,168	4000	0,107,227	3000				
0,107,155	0,107,169	0,107,227			4000	30	210	0,107,207	0,107,155	3000	0,107,169	4000	0,107,227	3000				
0,107,155	0,107,170	0,107,227			4000	30	210	0,107,208	0,107,155	3000	0,107,170	4000	0,107,227	3000				
0,107,155	0,107,171	0,107,227			4000	30	210	0,107,209	0,107,155	3000	0,107,171	4000	0,107,227	3000				
0,107,155	0,107,172	0,107,227			4000	30	210	0,107,210	0,107,155	3000	0,107,172	4000	0,107,227	3000				
0,107,155	0,107,173	0,107,227			4000	30	210	0,107,211	0,107,155	3000	0,107,173	4000	0,107,227	3000				
0,107,155	0,107,174	0,107,227			4000	30	210	0,107,212	0,107,155	3000	0,107,174	4000	0,107,227	3000				
0,107,155	0,107,175	0,107,227			4000	30	210	0,107,213	0,107,155	3000	0,107,175	4000	0,107,227	3000				
0,107,155	0,107,176	0,107,227			4000	30	210	0,107,214	0,107,155	3000	0,107,176	4000	0,107,227	3000				
0,107,155	0,107,177	0,107,227			4000	30	210	0,107,215	0,107,155	3000	0,107,177	4000	0,107,227	3000				
0,107,155	0,107,178	0,107,227			4000	30	210	0,107,216	0,107,155	3000	0,107,178	4000	0,107,227	3000				
0,107,155	0,107,179	0,107,227			4000	30	210	0,107,217	0,107,155	3000	0,107,179	4000	0,107,227	3000				
0,107,155	0,107,198	0,107,227			4000	30	210	0,107,218	0,107,155	3000	0,107,198	4000	0,107,227	3000				
0,107,155	0,107,199	0,107,227			4000	30	210	0,107,219	0,107,155	3000	0,107,199	4000	0,107,227	3000				
0,107,155	0,107,200	0,107,227			4000	30	210	0,107,220	0,107,155	3000	0,107,200	4000	0,107,227	3000				
0,107,155	0,107,201	0,107,227			4000	30	210	0,107,221	0,107,155	3000	0,107,201	4000	0,107,227	3000				
0,107,155	0,107,202	0,107,227			4000	30	210	0,107,222	0,107,155	3000	0,107,202	4000	0,107,227	3000				
0,107,155	0,107,203	0,107,227			4000	30	210	0,107,223	0,107,155	3000	0,107,203	4000	0,107,227	3000				
0,107,228	0,107,229				4500	500	3500	0,107,230	0,107,228	5000	0,107,229	5000						
0,107,232	0,107,233				4500	500	3500	0,107,234	0,107,232	5000	0,107,233	5000						
0,107,155	0,107,230				1500	30	210	0,107,231	0,107,155	5000	0,107,230	5000						
0,107,155	0,107,234				1500	30	210	0,107,235	0,107,155	5000	0,107,234	5000						
0,107,155	0,107,230	0,107,227			4000	30	210	0,107,231	0,107,155	3000	0,107,230	4000	0,107,227	3000				
0,107,155	0,107,234	0,107,227			4000	30	210	0,107,235	0,107,155	3000	0,107,234	4000	0,107,227	3000				
0,107,228	0,107,229	0,107,230			1500	30	210	0,112,236	0,107,228	5000	0,107,229	2500	0,107,230	2500				
0,107,232	0,107,233	0,107,234			1500	30	210	0,112,237	0,107,232	5000	0,107,233	2500	0,107,234	2500				
